objectid,name,year
7536,Usborne Battlegame Books  Galactic War,1975
4623,The Fast Carriers,1975
255,Jena-Auerstadt,1975
4611,Haithabu,1975
3827,Creature Castle,1975
13863,Junta,1975
810,Tantalus,1975
8746,Bloody Ridge,1975
11320,Samurai,1975
2320,Worldbeater,1975
5382,Oil War,1975
22080,Brain Trainer,1975
6938,Global War,1975
15214,The McDonald's Game,1975
8503,Arkansas Bluff,1975
5447,Wealth of Nations,1975
9013,The Battle of the Five Armies,1975
4123,Gambler,1975
2296,Bermuda Triangle,1975
3027,Battle of Britain,1975
11936,The Battle of Balaclava,1975
13921,Cemetery Hill  The Battle of Gettysburg,1975
4972,Lost Gold,1975
4999,Jet World,1975
8319,Sixth Fleet,1975
10368,Numbers Up,1975
3585,Sorcerer,1975
9415,Microdot,1975
15712,Egyptian Ratscrew,1975
4797,Guinness Game of World Records,1975
15819,Snifty Snakes,1975
5617,Six Million Dollar Man  Bionic Crisis,1975
8943,Superfection,1975
7563,Sharky's Dinner,1975
13260,Create-a-Clown,1975
6605,Track,1975
4696,Outwit,1975
2598,Tank Battle,1975
1174,Minister,1975
2841,Tennis,1975
2971,Kojak  The Stake Out Detective Game,1975
3584,World War 3,1975
6764,The Six Million Dollar Man,1975
5960,Strike Force One,1975
2740,Jumbo Jet,1975
32236,Mushrooms,1975
4910,Wheel of Fortune  Revised Edition,1975
1797,Payday!,1975
1432,Breakout!,1975
1609,Creature Features,1975
1624,Quest of the Magic Ring,1975
1652,Escape from the Casbah,1975
2032,Now You See It,1975
2039,Barrier,1975
2041,They're at the Post,1975
2293,Hei\u00dfe Karten,1975
2420,The Great American Auction Card Game,1975
2813,Scrabble Duplicate Crossword Game,1975
3066,Zone X,1975
3082,Deception,1975
3323,Slapstick,1975
3937,Games of Art,1975
4115,Gamblers Golf,1975
4197,Mercenary,1975
4333,Rip-Off,1975
4439,Roll and Score Tic Tac Dice,1975
4564,Blue & Gray,1975
4582,The Game of Ancient Kingdoms,1975
4848,Blue & Gray II,1975
4963,Enemy Agent,1975
5096,Sly,1975
3041,Panzergruppe Guderian,1976
1430,Caesar  Epic Battle of Alesia,1976
670,Starship Troopers,1976
1431,War at Sea (second edition),1976
3577,Terrible Swift Sword  The Three Days of Gettysburg,1976
1506,Conquistador,1976
3608,Air Force,1976
4974,Wellington's Victory  Battle of Waterloo Game \u2013 June 18th,1976
3083,Submarine,1976
5677,A Bridge Too Far  Arnhem,1976
